ESTACION,LATITUD,LONGITUD,FUENTE
CHOTANO LAJAS,-6.55972,-78.74111,HTML_EMBEDDED
LLAMA,-6.51443,-79.12262,HTML_EMBEDDED
TOCMOCHE,-6.4101,-79.3557,HTML_EMBEDDED
CONTUMAZA,-7.36521,-78.82273,HTML_EMBEDDED
PUENTE CHILETE,-7.21969,-78.83799,HTML_EMBEDDED
CHILETE,-7.21968,-78.83799,HTML_EMBEDDED
SAN BENITO,-7.42819,-78.92673,HTML_EMBEDDED
HUARMEY,-10.06812,-78.16232,HTML_EMBEDDED
MALVAS,-9.92723,-77.65519,HTML_EMBEDDED
PISCOBAMBA II,-8.87045,-77.35072,HTML_EMBEDDED
CABANA,-8.39058,-78.00461,HTML_EMBEDDED
POMABAMBA,-8.8217,-77.45733,HTML_EMBEDDED
RECUAY,-9.72919,-77.45365,HTML_EMBEDDED
CHACHAPOYAS,-6.2083,-77.86712,HTML_EMBEDDED
ARAMANGO,-5.41994,-78.43553,HTML_EMBEDDED
JAZAN,-5.94485,-77.97569,HTML_EMBEDDED
LOS NARANJOS,-5.75568,-78.43154,HTML_EMBEDDED
BAGUA CHICA,-5.66148,-78.53396,HTML_EMBEDDED
JAMALCA,-5.8927,-78.2339,HTML_EMBEDDED
CAJAMARQUILLA,-9.63204,-77.74136,HTML_EMBEDDED
PARIACOTO,-9.55239,-77.88761,HTML_EMBEDDED
AIJA,-9.78164,-77.60674,HTML_EMBEDDED
CHIQUIAN,-10.14763,-77.15949,HTML_EMBEDDED
CHAVIN,-9.58598,-77.17526,HTML_EMBEDDED
CHAMANA,-10.20739,-77.55872,HTML_EMBEDDED
SIHUAS,-8.56667,-77.65,HTML_EMBEDDED
YUNGAY,-9.14189,-77.74998,HTML_EMBEDDED
CURAHUASI,-13.55253,-72.73487,HTML_EMBEDDED
GRANJA SAN ANTONIO,-13.6049,-72.8569,HTML_EMBEDDED
ANDAHUAYLAS,-13.64863,-73.36679,HTML_EMBEDDED
AYMARAES,-14.29056,-73.25168,HTML_EMBEDDED
TAMBOBAMBA,-13.94492,-72.17522,HTML_EMBEDDED
PAMPAS,-13.43488,-73.82427,HTML_EMBEDDED
