CODIGO_ID,ESTACION,LATITUD,LONGITUD,TIPO_REPORTE
112154,QUEBRADA YANATILE,-12.6788,-72.2785,REAL
114033,SICUANI,-14.23736,-71.2367,REAL
250308,SALCCA,-14.16963,-71.23172,REAL
114030,SANTO TOMAS,-14.39878,-72.08774,REAL
113037,PARURO,-13.76698,-71.8447,REAL
250405,PAUCARTAMBO,-13.3177,-71.5974,REAL
100100,PAUCARTAMBO,-13.30347,-71.59668,REAL
113122,CAICAY,-13.59999,-71.69581,REAL
250301,CHACLLABAMBA,-13.10677,-71.7203,REAL
100024,CHALLABAMBA,-13.21754,-71.64938,REAL
113116,COLQUEPATA,-13.36313,-71.67336,REAL
100114,QUINCEMIL,-13.22893,-70.7544,REAL
113041,CCATCCA,-13.60988,-71.5601,REAL
113034,URUBAMBA,-13.30517,-72.12455,REAL
113031,MACHU PICCHU,-13.16655,-72.54585,REAL
112060,PILCHACA,-12.39939,-75.08412,REAL
112067,ACOBAMBA,-12.84361,-74.5616,REAL
112065,LIRCAY,-12.9815,-74.7181,REAL
213502,CHALLACA,-13.78333,-75.4,REAL
112051,ACOSTAMBO,-12.36079,-75.05725,REAL
112012,PAMPAS,-12.40203,-74.88414,REAL
112163,COLCABAMBA,-12.415,-74.6835,REAL
100120,SALCABAMBA,-12.204,-74.7794,REAL
100020,CANCHAN,-9.92095,-76.30962,REAL
221811,PUENTE HIGUERAS,-9.9222,-76.30938,REAL
109003,HUANUCO,-9.95201,-76.24856,REAL
109020,CARPISH,-9.70568,-76.09424,REAL
221309,SAN RAFAEL,-10.3399,-76.1824,REAL
110025,SAN RAFAEL,-10.32926,-76.17658,REAL
109077,DOS DE MAYO,-9.7171,-76.77374,REAL
109027,TINGO MARIA,-9.31016,-76.00049,REAL
221820,TINGO MARIA,-9.29601,-76.00207,REAL
108025,LA DIVISORIA,-9.20091,-75.81393,REAL
108033,AUCAYACU,-8.92987,-76.11171,REAL
109028,TULUMAYO,-9.14706,-76.00944,REAL
109021,CHAGLLA,-9.85008,-75.90706,REAL
231101,PUERTO INCA,-9.38271,-74.96792,REAL
109032,PUERTO INCA,-9.3851,-74.96376,REAL
108034,TOURNAVISTA,-8.92749,-74.70882,REAL
109022,JACAS CHICO,-9.88474,-76.50094,REAL
113058,TACAMA,-13.99978,-75.72052,REAL
114020,OCUCAJE,-14.37844,-75.68208,REAL
114008,SAN CAMILO,-14.07331,-75.71101,REAL
